,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
1,11-1011,Chief Executives,$51.37 ,$101.82 ,Bachelor's degree,-35,427,178,605,Chief Executives,33,,,,,,
2,11-1021,General and Operations Managers,$24.76 ,$55.39 ,Bachelor's degree,203,"1,738",342,"2,080",General and Operations Managers,226,,,,,,
3,11-1031,Legislators,$9.03 ,$23.27 ,Bachelor's degree,0,25,21,46,NA,NA,,,"Wednesday, January 11, 1900",11-,2011,11-2011
4,11-2011,Advertising and Promotions Managers,$24.33 ,$40.06 ,Bachelor's degree,-4,20,<10,20,Advertising and Promotions Managers,1,,,"Wednesday, January 11, 1900",11-,2021,
5,11-2021,Marketing Managers,$34.78 ,$61.57 ,Bachelor's degree,38,99,20,120,Marketing Managers,95,,,"Wednesday, January 11, 1900",11-,2022,
6,11-2022,Sales Managers,$29.32 ,$59.77 ,Bachelor's degree,32,226,44,271,Sales Managers,223,,,"Wednesday, January 11, 1900",11-,2031,
7,11-2031,Public Relations and Fundraising Managers,$27.01 ,$50.15 ,Bachelor's degree,12,51,11,62,Public Relations and Fundraising Managers,46,,,"Wednesday, January 11, 1900",11-,3011,
8,11-3011,Administrative Services Managers,$26.23 ,$46.40 ,Bachelor's degree,53,286,61,347,Administrative Services Managers,32,,,"Wednesday, January 11, 1900",11-,3021,
9,11-3021,Computer and Information Systems Managers,$40.24 ,$65.50 ,Bachelor's degree,156,168,20,188,Computer and Information Systems Managers,19,,,"Wednesday, January 11, 1900",11-,3031,
10,11-3031,Financial Managers,$31.00 ,$61.99 ,Bachelor's degree,33,474,88,562,Financial Managers,166,,,"Wednesday, January 11, 1900",11-,3051,
11,11-3051,Industrial Production Managers,$30.37 ,$47.39 ,Bachelor's degree,-40,258,28,286,Industrial Production Managers,104,,,"Wednesday, January 11, 1900",11-,3061,
12,11-3061,Purchasing Managers,$34.10 ,$57.35 ,Bachelor's degree,3,80,12,92,Purchasing Managers,35,,,"Wednesday, January 11, 1900",11-,3071,
13,11-3071,"Transportation, Storage, and Distribution Managers",$30.41 ,$50.37 ,High school diploma or equivalent,19,145,23,168,"Transportation, Storage, and Distribution Managers",82,,,"Wednesday, January 11, 1900",11-,3111,
14,11-3111,Compensation and Benefits Managers,$34.43 ,$63.59 ,Bachelor's degree,4,16,<10,16,Compensation and Benefits Managers,13,,,"Wednesday, January 11, 1900",11-,3121,
15,11-3121,Human Resources Managers,$33.45 ,$53.97 ,Bachelor's degree,26,120,21,140,Human Resources Managers,97,,,"Wednesday, January 11, 1900",11-,3131,
16,11-3131,Training and Development Managers,$33.07 ,$53.60 ,Bachelor's degree,6,72,10,83,Training and Development Managers,23,,,"Wednesday, January 11, 1900",11-,9013,
17,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",$9.22 ,$11.84 ,High school diploma or equivalent,-320,154,73,226,"Farmers, Ranchers, and Other Agricultural Managers",3,,,"Wednesday, January 11, 1900",11-,9021,
18,11-9021,Construction Managers,$22.46 ,$37.34 ,Bachelor's degree,-98,346,70,416,Construction Managers,47,,,"Wednesday, January 11, 1900",11-,9031,
19,11-9031,"Education Administrators, Preschool and Childcare Center/Program",$15.99 ,$24.58 ,Bachelor's degree,11,35,12,47,"Education Administrators, Preschool and Childcare Center/Program",15,,,"Wednesday, January 11, 1900",11-,9032,
20,11-9032,"Education Administrators, Elementary and Secondary School",$38.29 ,$53.22 ,Master's degree,21,283,57,340,"Education Administrators, Elementary and Secondary School",28,,,"Wednesday, January 11, 1900",11-,9033,
