"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"1","53-3032","Heavy & Tractor-Trailer Truck Drivers",3353,21.31,"Postsecondary nondegree award","$17.44","$26.31",2682.4
"2","29-1141","Registered Nurses",1511,29.75,"Bachelor's degree","$25.12","$35.06",1208.8
"3","41-2031","Retail Salespersons",974,9.99,"No formal educational credential","$8.92","$12.61",779.2
"4","43-4051","Customer Service Representatives",907,15.41,"High school diploma or equivalent","$12.60","$18.92",725.6
"5","41-4012","Sales Reps, Wholesale & Manufacturing, Non-technical",879,27.57,"High school diploma or equivalent","$18.74","$41.56",703.2
"6","41-1011","Supervisors of Retail Sales Workers",690,15.63,"High school diploma or equivalent","$11.97","$20.37",552
"7","53-7062","Laborers & Freight, Stock, & Material Movers, Hand",631,13.04,"No formal educational credential","$10.95","$16.75",504.8
"8","49-9071","Maintenance & Repair Workers, General",462,18.55,"High school diploma or equivalent","$14.26","$24.02",369.6
"9","15-1199","Computer Occupations, All Other",433,41.06,"Bachelor's degree","$31.35","$51.92",346.4
"10","15-1132","Software Developers, Applications",427,34.93,"Bachelor's degree","$27.44","$43.68",341.6
"11","31-1014","Nursing Assistants",415,12.33,"Postsecondary nondegree award","$10.70","$14.22",332
"12","11-9199","Managers, All Other",414,34.35,"Bachelor's degree","$26.29","$44.93",331.2
"13","35-1012","Supervisors of Food Preparation & Serving Workers",386,13.03,"High school diploma or equivalent","$10.72","$17.57",308.8
"14","43-3031","Bookkeeping, Accounting, & Auditing Clerks",372,17.39,"Some college, no degree","$13.99","$21.07",297.6
"15","43-6014","Secretaries & Administrative Assistants",351,15.31,"High school diploma or equivalent","$12.28","$19.13",280.8
"16","39-9011","Childcare Workers",346,9.02,"High school diploma or equivalent","$8.32","$10.66",276.8
"17","13-1071","Human Resources Specialists",331,23.87,"Bachelor's degree","$18.01","$31.72",264.8
"18","11-9111","Medical & Health Services Managers",326,39.98,"Bachelor's degree","$31.89","$52.54",260.8
"19","35-3021","Food Prep & Serving Workers, Incl. Fast Food",319,9.21,"No formal educational credential","$8.61","$9.81",255.2
"20","43-5081","Stock Clerks & Order Fillers",318,11.6,"No formal educational credential","$9.72","$14.77",254.4
"21","33-9032","Security Guards",317,11.21,"High school diploma or equivalent","$9.41","$13.90",253.6
"22","13-2011","Accountants & Auditors",293,27.94,"Bachelor's degree","$21.93","$36.42",234.4
"23","29-2061","Licensed Practical & Licensed Vocational Nurses",291,19.77,"Postsecondary nondegree award","$17.34","$22.66",232.8
"24","29-1069","Physicians & Surgeons, All Other",268,70.64,"Doctoral or professional degree","$33.17","$85.64",214.4
"25","11-1021","General & Operations Managers",226,37.21,"Bachelor's degree","$24.76","$55.39",180.8
"26","11-2022","Sales Managers",223,42.53,"Bachelor's degree","$29.32","$59.77",178.4
"27","15-1151","Computer User Support Specialists",220,19.99,"Some college, no degree","$15.94","$25.50",176
"28","27-1026","Merchandise Displayers & Window Trimmers",218,13.92,"High school diploma or equivalent","$11.31","$18.45",174.4
"29","13-1111","Management Analysts",203,33.47,"Bachelor's degree","$25.65","$43.27",162.4
"30","35-2014","Cooks, Restaurant",200,9.99,"No formal educational credential","$8.92","$12.43",160
"31","41-2011","Cashiers",198,9.48,"No formal educational credential","$8.74","$10.70",158.4
"32","29-2071","Medical Records & Health Information Technicians",191,16.75,"Postsecondary nondegree award","$13.32","$21.04",152.8
"33","51-9199","Production Workers, All Other",189,10.87,"High school diploma or equivalent","$9.22","$14.94",151.2
"34","53-3033","Light Truck or Delivery Services Drivers",189,16.36,"High school diploma or equivalent","$12.38","$22.20",151.2
"35","53-3031","Driver/Sales Workers",180,10.51,"High school diploma or equivalent","$9.26","$15.84",144
"36","31-9092","Medical Assistants",179,14.19,"Postsecondary nondegree award","$12.31","$16.68",143.2
"37","43-6013","Medical Secretaries",179,14.63,"High school diploma or equivalent","$12.22","$17.41",143.2
"38","37-2012","Maids & Housekeeping Cleaners",172,9.73,"No formal educational credential","$8.80","$11.39",137.6
"39","51-1011","Supervisors of Production & Operating Workers",171,25.64,"High school diploma or equivalent","$19.77","$32.05",136.8
"40","43-1011","Supervisors of Office & Administrative Support Workers",168,23.97,"High school diploma or equivalent","$19.28","$30.47",134.4
"41","11-3031","Financial Managers",166,44.07,"Bachelor's degree","$31.00","$61.99",132.8
"42","29-1123","Physical Therapists",164,40.15,"Doctoral or professional degree","$33.03","$45.46",131.2
"43","41-3021","Insurance Sales Agents",158,21.76,"High school diploma or equivalent","$15.75","$31.30",126.4
"44","43-4171","Receptionists & Information Clerks",149,13.17,"High school diploma or equivalent","$11.03","$15.43",119.2
"45","15-1121","Computer Systems Analysts",148,32.07,"Bachelor's degree","$25.43","$41.27",118.4
